STATION,STATION_NAME,elev_m,lat_dd,lon_dd,date,MDPR,Source Flag,Time of Observation,DAPR,Source Flag,Time of Observation,PRCP,Measurement Flag,Source Flag,Time of Observation,TMAX,Quality Flag,Source Flag,Time of Observation,TMIN,Quality Flag,Source Flag,Time of Observation
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031230,-9999, ,9999,-9999, ,9999,61, ,0,1600,128, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031231,-9999, ,9999,-9999, ,9999,0, ,0,1600,122, ,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040102,-9999, ,9999,-9999, ,9999,330, ,0,1600,106, ,0,1600,0, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040103,-9999, ,9999,-9999, ,9999,3, ,0,1600,106, ,0,1600,-17, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040104,-9999, ,9999,-9999, ,9999,0, ,0,1600,111, ,0,1600,-28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040105,-9999, ,9999,-9999, ,9999,0, ,0,1600,117, ,0,1600,-17, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040106,-9999, ,9999,-9999, ,9999,0, ,0,1600,117, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040107,-9999, ,9999,-9999, ,9999,51, ,0,1600,133, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040108,-9999, ,9999,-9999, ,9999,18, ,0,1600,144, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040109,-9999, ,9999,-9999, ,9999,76, ,0,1600,139, ,0,1600,50, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040110,-9999, ,9999,-9999, ,9999,25, ,0,1600,133, ,0,1600,100, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040111,-9999, ,9999,-9999, ,9999,0, ,0,1600,172, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040112,-9999, ,9999,-9999, ,9999,0, ,0,1600,128,I,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040113,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040114,-9999, ,9999,-9999, ,9999,28, ,0,1600,89,I,0,1600,61, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040115,-9999, ,9999,-9999, ,9999,0, ,0,1600,144, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040116,-9999, ,9999,-9999, ,9999,3, ,0,1600,117,I,0,1600,89, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040117,-9999, ,9999,-9999, ,9999,0, ,0,1600,122, ,0,1600,89, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040118,-9999, ,9999,-9999, ,9999,0, ,0,1600,122, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040119,-9999, ,9999,-9999, ,9999,0, ,0,1600,128, ,0,1600,89, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040120,-9999, ,9999,-9999, ,9999,0, ,0,1600,156, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040121,-9999, ,9999,-9999, ,9999,0, ,0,1600,172, ,0,1600,17, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040122,-9999, ,9999,-9999, ,9999,0, ,0,1600,150, ,0,1600,-6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040123,-9999, ,9999,-9999, ,9999,0, ,0,1600,128,I,0,1600,-11, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040124,-9999, ,9999,-9999, ,9999,41, ,0,1600,139, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040125,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,-6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040126,-9999, ,9999,-9999, ,9999,0, ,0,1600,122, ,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040127,-9999, ,9999,-9999, ,9999,165, ,0,1600,133, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040128,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,11, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040129,-9999, ,9999,-9999, ,9999,0, ,0,1600,111,I,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040130,-9999, ,9999,-9999, ,9999,23, ,0,1600,133, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040131,-9999, ,9999,-9999, ,9999,0, ,0,1600,139, ,0,1600,22, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040201,-9999, ,9999,-9999, ,9999,25, ,0,1600,117,I,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040202,-9999, ,9999,-9999, ,9999,305, ,0,1600,122, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040203,-9999, ,9999,-9999, ,9999,43, ,0,1600,133, ,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040204,-9999, ,9999,-9999, ,9999,48, ,0,1600,161, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040205,-9999, ,9999,-9999, ,9999,0,P,0,1600,161, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040206,-9999, ,9999,-9999, ,9999,5, ,0,1600,161, ,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040207,-9999, ,9999,-9999, ,9999,20, ,0,1600,156, ,0,1600,17, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040208,-9999, ,9999,-9999, ,9999,0,P,0,1600,172, ,0,1600,-6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040209,-9999, ,9999,-9999, ,9999,0,P,0,1600,194, ,0,1600,17, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040210,-9999, ,9999,-9999, ,9999,0,P,0,1600,189, ,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040211,-9999, ,9999,-9999, ,9999,0,P,0,1600,178, ,0,1600,0, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040212,-9999, ,9999,-9999, ,9999,0,P,0,1600,194, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040213,-9999, ,9999,-9999, ,9999,5, ,0,1600,128,I,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040214,-9999, ,9999,-9999, ,9999,0,P,0,1600,172, ,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040215,-9999, ,9999,-9999, ,9999,0,T,0,1600,156, ,0,1600,61, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040216,-9999, ,9999,-9999, ,9999,434, ,0,1600,144, ,0,1600,94, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040217,-9999, ,9999,-9999, ,9999,145, ,0,1600,144, ,0,1600,128, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040218,-9999, ,9999,-9999, ,9999,173, ,0,1600,167, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040219,-9999, ,9999,-9999, ,9999,0,P,0,1600,150, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040220,-9999, ,9999,-9999, ,9999,3, ,0,1600,133, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040221,-9999, ,9999,-9999, ,9999,5, ,0,1600,133, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040222,-9999, ,9999,-9999, ,9999,36, ,0,1600,133, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040224,30,0,9999,2,0,9999,-9999, , ,9999,161, ,0,1600,22, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040225,-9999, ,9999,-9999, ,9999,267, ,0,1600,161, ,0,1600,106, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040226,-9999, ,9999,-9999, ,9999,46, ,0,1600,122,I,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040227,-9999, ,9999,-9999, ,9999,13, ,0,1600,150, ,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040228,-9999, ,9999,-9999, ,9999,0,P,0,1600,167, ,0,1600,22, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040229,-9999, ,9999,-9999, ,9999,0,P,0,1600,144, ,0,1600,22, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040301,-9999, ,9999,-9999, ,9999,81, ,0,1600,133, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040302,-9999, ,9999,-9999, ,9999,3, ,0,1600,189, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040303,-9999, ,9999,-9999, ,9999,0,P,0,1600,167,I,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040304,-9999, ,9999,-9999, ,9999,0,P,0,1600,194, ,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040305,-9999, ,9999,-9999, ,9999,0,P,0,1600,194, ,0,1600,50, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040306,-9999, ,9999,-9999, ,9999,0,P,0,1600,200, ,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040307,-9999, ,9999,-9999, ,9999,0,P,0,1600,244, ,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040308,-9999, ,9999,-9999, ,9999,0,P,0,1600,267, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040309,-9999, ,9999,-9999, ,9999,0,P,0,1600,278, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040310,-9999, ,9999,-9999, ,9999,0,P,0,1600,300, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040311,-9999, ,9999,-9999, ,9999,0,P,0,1600,267,I,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040312,-9999, ,9999,-9999, ,9999,0,P,0,1600,267, ,0,1600,61, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040313,-9999, ,9999,-9999, ,9999,0,P,0,1600,272, ,0,1600,67, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040314,-9999, ,9999,-9999, ,9999,0,P,0,1600,283, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040315,-9999, ,9999,-9999, ,9999,0,P,0,1600,300, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040316,-9999, ,9999,-9999, ,9999,0,P,0,1600,317, ,0,1600,194, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040317,-9999, ,9999,-9999, ,9999,0,P,0,1600,306, ,0,1600,94, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040318,-9999, ,9999,-9999, ,9999,0,P,0,1600,289, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040319,-9999, ,9999,-9999, ,9999,0,P,0,1600,272, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040320,-9999, ,9999,-9999, ,9999,0,P,0,1600,283, ,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040321,-9999, ,9999,-9999, ,9999,0,P,0,1600,228,I,0,1600,111, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040322,-9999, ,9999,-9999, ,9999,0,P,0,1600,228, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040323,-9999, ,9999,-9999, ,9999,0,P,0,1600,211, ,0,1600,106, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040324,-9999, ,9999,-9999, ,9999,0,P,0,1600,200, ,0,1600,61, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040325,-9999, ,9999,-9999, ,9999,155, ,0,1600,122,I,0,1600,56, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040326,-9999, ,9999,-9999, ,9999,30, ,0,1600,144, ,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20040327,-9999, ,9999,-9999, ,9999,0,P,0,1600,194, ,0,1600,83, ,0,1600
