"","id","date","time","events"
"200","mitsui","10/19/2004","5:49:24",122839
"201","mitsui","10/19/2004","52:18.5",122840
"202","mitsui","10/19/2004","5:55:16",122841
"203","mitsui","10/19/2004","5:58:02",122842
"204","mitsui","10/19/2004","6:00:57",122843
"205","mitsui","10/19/2004","04:36.5",122844
"206","mitsui","10/19/2004","12:32.5",122845
"207","mitsui","10/19/2004","15:34.5",122846
"208","mitsui","10/19/2004","19:19.5",122847
"209","mitsui","10/19/2004","21:36.5",122848
"210","mitsui","10/19/2004","24:20.5",122849
"211","mitsui","10/19/2004","6:26:52",122850
"212","mitsui","10/19/2004","6:30:47",122851
"213","mitsui","10/19/2004","33:26.5",122852
"214","mitsui","10/19/2004","43:22.5",122853
"215","mitsui","10/19/2004","58:43.5",122854
"216","mitsui","10/19/2004","30:22.5",122855
"217","mitsui","10/19/2004","7:42:16",122856
"218","mitsui","10/19/2004","7:45:58",122857
"219","mitsui","10/19/2004","7:47:32",122858
"220","mitsui","10/19/2004","7:49:36",122859
"221","mitsui","10/19/2004","58:32.5",122860
"222","mitsui","10/19/2004","8:00:32",122861
"223","mitsui","10/19/2004","8:03:59",122862
"224","mitsui","10/19/2004","8:10:45",122863
"225","mitsui","10/19/2004","8:18:47",122864
"226","mitsui","10/19/2004","8:25:24",122865
"227","mitsui","10/19/2004","8:26:34",122866
"228","mitsui","10/19/2004","8:27:51",122867
"229","mitsui","10/19/2004","31:59.5",122868
"230","mitsui","10/19/2004","8:34:54",122869
"231","mitsui","10/19/2004","36:31.5",122870
"232","mitsui","10/19/2004","8:38:42",122871
"233","mitsui","10/19/2004","8:42:32",122872
"234","mitsui","10/19/2004","46:51.5",122873
"235","mitsui","10/19/2004","8:50:52",122874
"236","mitsui","10/19/2004","56:43.5",122875
"237","mitsui","10/19/2004","59:13.5",122876
"238","mitsui","10/19/2004","00:05.5",122877
"239","mitsui","10/19/2004","9:01:14",122878
"240","mitsui","10/19/2004","02:22.5",122879
"241","mitsui","10/19/2004","9:04:25",122880
"242","mitsui","10/19/2004","05:39.5",122881
"243","mitsui","10/19/2004","06:18.5",122882
"244","mitsui","10/19/2004","9:07:33",122883
"245","mitsui","10/19/2004","9:09:06",122884
"246","mitsui","10/19/2004","9:10:15",122885
"247","mitsui","10/19/2004","9:11:07",122886
"248","mitsui","10/19/2004","11:43.5",122887
"249","mitsui","10/19/2004","12:23.5",122888
"250","mitsui","10/19/2004","13:46.5",122889
"251","mitsui","10/19/2004","9:19:03",122890
"252","mitsui","10/19/2004","20:16.5",122891
"253","mitsui","10/19/2004","20:52.5",122892
"254","mitsui","10/19/2004","21:38.5",122893
"255","mitsui","10/19/2004","9:24:14",122894
"256","mitsui","10/19/2004","9:26:09",122895
"257","mitsui","10/19/2004","9:28:04",122896
"258","mitsui","10/19/2004","29:32.5",122897
"259","mitsui","10/19/2004","9:30:18",122898
"260","mitsui","10/19/2004","9:31:35",122899
"261","mitsui","10/19/2004","33:27.5",122900
"262","mitsui","10/19/2004","34:19.5",122901
"263","mitsui","10/19/2004","9:34:59",122902
"264","mitsui","10/19/2004","9:36:32",122903
"265","mitsui","10/19/2004","38:25.5",122904
"266","mitsui","10/19/2004","9:39:43",122905
"267","mitsui","10/19/2004","43:40.5",122906
"268","mitsui","10/19/2004","11:03:01",122907
"269","mitsui","10/19/2004","11:03:48",122908
"270","mitsui","10/19/2004","41:38.5",122909
"271","mitsui","10/19/2004","11:47:06",122910
"272","mitsui","10/19/2004","11:54:48",122911
"273","mitsui","10/19/2004","32:19.5",122912
"274","mitsui","10/19/2004","32:58.5",122913
"275","mitsui","10/19/2004","33:33.5",122914
"276","mitsui","10/19/2004","34:16.5",122915
"277","mitsui","10/19/2004","13:34:47",122916
"278","mitsui","10/19/2004","13:35:24",122917
"279","mitsui","10/19/2004","36:10.5",122918
"280","mitsui","10/19/2004","13:37:02",122919
"281","mitsui","10/19/2004","13:38:50",122920
"282","mitsui","10/19/2004","39:40.5",122921
"283","mitsui","10/19/2004","13:42:09",122922
"284","mitsui","10/19/2004","13:43:05",122923
"285","mitsui","10/19/2004","43:25.5",122924
"286","mitsui","10/19/2004","13:43:49",122925
"287","mitsui","10/19/2004","45:04.5",122926
"288","mitsui","10/19/2004","48:48.5",122927
"289","mitsui","10/19/2004","13:51:50",122928
"290","mitsui","10/19/2004","53:24.5",122929
"291","mitsui","10/19/2004","13:58:34",122930
